date,No. of Veh,Service interval,Run time (min),Term time (min),Avg. spd (km/h),Time of Day (morning: 0-late evening: 4)*,Weekday=0/Sat=1/Sun=2,RT dist (km),Interruption,time period start,time period end,EB/WB,stop,bunch,gap,"delay time (5,19]","delay time (19,120]"
2024-08-11,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-11 08:00:00,2024-08-11 12:00:00,E,Brock Ave,1,0,1,0
2024-08-11,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-11 08:00:00,2024-08-11 12:00:00,E,Woodbine Ave,4,2,5,0
2024-08-11,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-11 08:00:00,2024-08-11 12:00:00,E,Elizabeth St,2,0,2,0
2024-08-11,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-11 08:00:00,2024-08-11 12:00:00,E,Coxwell Ave at Lower Gerrard St East,0,0,0,0
2024-08-11,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-11 08:00:00,2024-08-11 12:00:00,E,Parliament St at Gerrard St East,3,1,5,0
2024-08-11,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-11 08:00:00,2024-08-11 12:00:00,E,Marjory Ave,2,1,6,0
2024-08-11,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-11 08:00:00,2024-08-11 12:00:00,E,Bathurst St,1,0,2,0
2024-08-11,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-11 08:00:00,2024-08-11 12:00:00,E,St George St,0,0,0,0
2024-08-11,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-11 08:00:00,2024-08-11 12:00:00,E,Roncesvalles Ave,0,1,5,0
2024-08-11,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-11 08:00:00,2024-08-11 12:00:00,E,Golfview Ave,4,2,6,0
2024-08-11,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-11 08:00:00,2024-08-11 12:00:00,E,Bay St,3,0,2,0
2024-08-11,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-11 08:00:00,2024-08-11 12:00:00,E,Jones Ave,2,2,6,0
2024-08-11,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-11 08:00:00,2024-08-11 12:00:00,E,Dufferin St,1,0,1,0
2024-08-11,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-11 08:00:00,2024-08-11 12:00:00,E,Ashdale Ave,0,0,0,0
2024-08-11,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-11 08:00:00,2024-08-11 12:00:00,E,Sackville St,3,1,5,0
2024-08-11,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-11 08:00:00,2024-08-11 12:00:00,E,Glenmount Park Rd,4,2,5,0
